,brand,name,short_name,price,currency,composition,size
0,DMC,DMC Natura XL 02 Black,DMC Natura XL,DMC Natura XL,€ ,100% Baumwolle,75 Meter
1,Drops,Drops Baby Merino Mix 17 Beige,Drops Baby Merino Mix,Drops Baby Merino Mix,€ ,100% Merinowolle,175 Meter
2,Drops,Drops Safran 1 Light-pink,Drops Safran,Drops Safran,€ ,100% Baumwolle,160 Meter
3,Stylecraft,Stylecraft Special DK Alle Farben Paket,,,€ ,4 mm,100% Acryl
4,Stylecraft,Stylecraft Special dk 1001 White,Stylecraft Special dk,Stylecraft Special dk,€ ,4 mm,100% Acryl
5,Stylecraft,Stylecraft Special dk Farbkarte,,,€ ,fntst1961112,5034533068270
